City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
469,Monclova,MX,60.46,overcast clouds,26.9,-101.4167,Hotel Royal Inn
473,Forio,IT,55.13,scattered clouds,40.7342,13.8646,Hotel Terme Providence
479,Nelson Bay,AU,62.65,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
480,Nsanje,MW,67.28,scattered clouds,-16.92,35.262,Nsanje Discovery Lodge
481,Xai-Xai,MZ,64.76,scattered clouds,-25.0519,33.6442,Complexo da Familia
483,Hualmay,PE,68.13,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
484,Laguna,US,68.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
493,Ankazoabo,MG,63.86,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
495,Cumberland,US,54.1,clear sky,35.0502,-78.8664,American Eagle Inn
498,Mollendo,PE,67.55,overcast clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
502,Livingstone,ZM,73.65,scattered clouds,-17.8419,25.8543,Gloria's Bed and Breakfast
504,Aguimes,ES,61.43,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
505,Kruisfontein,ZA,59.4,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
506,Kiama,AU,60.28,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
512,Vangaindrano,MG,68.52,overcast clouds,-23.35,47.6,Hotel Fanilo
517,Florianopolis,BR,70.83,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
518,Monywa,MM,65.77,clear sky,22.1167,95.1333,Monywa Hotel
519,Alabaster,US,58.93,clear sky,33.2443,-86.8164,"Candlewood Suites Alabaster, an IHG Hotel"
520,Khora,GR,52.18,scattered clouds,37.05,21.7167,Hotel Melivoia
527,Beira,MZ,72.37,clear sky,-19.8436,34.8389,Beira Terrace Hotel
529,Davidson,US,55.69,broken clouds,36.1501,-86.7833,Best Western Plus Music Row
531,Caravelas,BR,71.56,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
532,Jensen Beach,US,71.65,clear sky,27.2545,-80.2298,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
533,Awbari,LY,71.92,overcast clouds,26.5921,12.7805,فندق أوباري
535,Sehwan,PK,60.62,clear sky,26.4279,67.863,Lal Shahbaz Motel STDC
536,Potiskum,NG,73.65,scattered clouds,11.7091,11.0694,Yobe NYSC Orietation Camp Dazigau
539,Elat,IL,62.44,clear sky,29.5581,34.9482,Club Hotel Eilat
547,Vila Franca Do Campo,PT,61.21,clear sky,37.7167,-25.4333,Pestana Bahia Praia
550,Nguruka,TZ,64.83,scattered clouds,-5.1092,31.0419,RUSULI LODGE
557,Surt,LY,72.73,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
558,Neon Karlovasion,GR,64.17,overcast clouds,37.7903,26.7044,Hotel Aegeon
560,Bonavista,CA,51.8,moderate rain,48.6499,-53.1147,Abbott's Bed & Breakfast
561,Hirara,JP,70.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
562,Pangkalanbuun,ID,73.13,light rain,-2.6833,111.6167,Grand Kecubung Hotel
566,Najran,SA,63.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
567,Cuamba,MZ,66.02,clear sky,-14.8031,36.5372,Hotel Vision
